week,winner,loser
17,Falcons,Cardinals
17,Lions,Bears
17,Chiefs,Broncos
17,Patriots,Dolphins
17,Giants,Colts
17,Saints,Eagles
17,Buccaneers,Panthers
17,Browns,Commanders
17,Jaguars,Texans
17,49ers,Raiders
17,Seahawks,Jets
17,Packers,Vikings
17,Chargers,Rams
17,Steelers,Ravens
18,Chiefs,Raiders
18,Jaguars,Titans
18,Falcons,Buccaneers
18,Bills,Patriots
18,Vikings,Bears
18,Bengals,Ravens
18,Texans,Colts
18,Dolphins,Jets
18,Panthers,Saints
18,Steelers,Browns
18,Broncos,Chargers
18,Eagles,Giants
18,49ers,Cardinals
18,Seahawks,Rams
18,Commanders,Cowboys
18,Lions,Packers
1,49ers,Seahawks
1,Jaguars,Chargers
1,Bills,Dolphins
1,Giants,Vikings
1,Bengals,Ravens
1,Cowboys,Buccaneers
2,Chiefs,Jaguars
2,Eagles,Giants
2,Bengals,Bills
2,49ers,Cowboys
3,Eagles,49ers
3,Chiefs,Bengals
4,Chiefs,Bengals
5,Chiefs,Eagles
1,Browns,Jets
2,Texans,Patriots
2,Seahawks,Vikings
2,Packers,Bengals
2,Lions,Giants
2,Falcons,Dolphins
2,Steelers,Buccaneers
2,Commanders,Browns
2,Cardinals,Broncos
2,Bills,Colts
2,Bears,Titans
2,Jets,Panthers
2,Jaguars,Cowboys
2,Ravens,Eagles
2,Chargers,Rams
2,Saints,Chiefs
2,Raiders,49ers
3,Browns,Eagles
3,Giants,Panthers
3,Bengals,Falcons
3,Jaguars,Lions
3,Dolphins,Texans
3,Steelers,Bills
3,Colts,Bears
3,Buccaneers,Jets
3,Patriots,Packers
3,Titans,Vikings
3,Chiefs,Cardinals
3,49ers,Broncos
3,Raiders,Rams
3,Seahawks,Cowboys
3,Saints,Chargers
3,Commanders,Ravens
4,Steelers,Falcons
4,Colts,Eagles
4,Lions,Panthers
4,Titans,Patriots
4,Chargers,49ers
4,Bills,Bears
4,Packers,Seahawks
4,Chiefs,Browns
4,Cardinals,Vikings
4,Jets,Giants
4,Commanders,Bengals
4,Buccaneers,Ravens
4,Jaguars,Dolphins
4,Cowboys,Raiders
4,Broncos,Rams
4,Texans,Saints
